test_id,PM2.5,PM10,PMO3
aotizhongxin_aq#0,11.82754716,40.49747189,152.4715467
aotizhongxin_aq#1,15.85305575,49.01431876,148.4284631
aotizhongxin_aq#10,40.17719218,107.2670415,68.41655439
aotizhongxin_aq#11,41.90796604,108.9920009,65.77866625
aotizhongxin_aq#12,43.49864407,110.9921993,64.93584685
aotizhongxin_aq#13,44.9605662,112.1981066,65.64959313
aotizhongxin_aq#14,46.30415444,113.7298493,67.61899918
aotizhongxin_aq#15,47.53898723,114.6890668,70.51055506
aotizhongxin_aq#16,48.67386767,115.5567855,73.98519876
aotizhongxin_aq#17,49.71688631,115.7831364,77.72130813
aotizhongxin_aq#18,50.6754788,116.6281738,81.43279902
aotizhongxin_aq#19,51.55647894,117.0539171,84.88195049
aotizhongxin_aq#2,19.55272342,61.00831119,141.0268004
aotizhongxin_aq#20,52.36616738,117.4497828,87.88698372
aotizhongxin_aq#21,53.11031637,117.728144,90.32475844
aotizhongxin_aq#22,53.79423093,118.1808329,92.12920925
aotizhongxin_aq#23,54.42278669,118.2508694,93.28631995
aotizhongxin_aq#24,55.0004646,118.5343667,93.82652921
aotizhongxin_aq#25,55.53138293,118.7027814,93.81548192
aotizhongxin_aq#26,56.01932659,118.9487623,93.34399911
aotizhongxin_aq#27,56.46777412,119.0810113,92.51804739
aotizhongxin_aq#28,56.8799225,119.2599679,91.44936147
aotizhongxin_aq#29,57.25870992,119.3527527,90.24722355
aotizhongxin_aq#3,22.95292506,69.41577784,131.2976106
aotizhongxin_aq#30,57.60683676,119.4771903,89.01174625
aotizhongxin_aq#31,57.9267848,119.5388566,87.82885055
aotizhongxin_aq#32,58.22083496,119.6248037,86.76698902
aotizhongxin_aq#33,58.49108351,119.6651159,85.87554237
aotizhongxin_aq#34,58.73945706,119.7260959,85.18472034
aotizhongxin_aq#35,58.96772624,119.7509038,84.70672745
aotizhongxin_aq#36,59.1775184,119.7900951,84.43791098
aotizhongxin_aq#37,59.37032913,119.8066667,84.3615907
aotizhongxin_aq#38,59.54753298,119.8349389,84.45127468
aotizhongxin_aq#39,59.71039324,119.8469091,84.67398845
aotizhongxin_aq#4,26.07790064,78.92052086,120.2550245
aotizhongxin_aq#40,59.86007093,119.8649556,84.99348236
aotizhongxin_aq#41,59.99763311,119.8694345,85.37312798
aotizhongxin_aq#42,60.12406044,119.8838744,85.77836579
aotizhongxin_aq#43,60.24025424,119.8888655,86.17861799
aotizhongxin_aq#44,60.34704284,119.8973806,86.54862938
aotizhongxin_aq#45,60.44518754,119.9005372,86.86924237
aotizhongxin_aq#46,60.53538801,119.907864,87.12764816
aotizhongxin_aq#47,60.6182873,119.9089586,87.3171833
aotizhongxin_aq#5,28.94992808,85.26734673,108.8329627
aotizhongxin_aq#6,31.58948203,91.9789392,97.83741566
aotizhongxin_aq#7,34.01537982,96.30674928,87.91485613
aotizhongxin_aq#8,36.24491564,100.9628229,79.53620447
aotizhongxin_aq#9,38.29398384,103.8384809,72.99484916
badaling_aq#0,24.05622498,86.59680224,129.283206
badaling_aq#1,26.0592458,96.03274404,121.9802621
badaling_aq#10,51.18499324,142.1430479,32.26402414
badaling_aq#11,52.8488941,144.499114,34.27765879
badaling_aq#12,53.93020884,144.1973191,39.67523927
badaling_aq#13,55.22410987,146.2798419,47.96698837
badaling_aq#14,56.6400982,147.1153961,58.45106572
badaling_aq#15,57.16883532,144.3004611,70.27167694
badaling_aq#16,57.75628091,148.2517867,82.48788836
badaling_aq#17,58.32008344,146.7556672,94.14763752
badaling_aq#18,53.12447593,146.5167659,104.3611392
badaling_aq#19,56.71649977,145.9793718,112.3680495
badaling_aq#2,29.89128058,94.14762623,111.6596491
badaling_aq#20,57.86682169,145.9175396,117.5933417
badaling_aq#21,54.69257103,147.5479423,119.6878189
badaling_aq#22,58.22998081,148.227525,118.5504499
badaling_aq#23,59.19587092,149.4643441,114.3311696
badaling_aq#24,59.4394392,149.3050978,107.4143175
badaling_aq#25,59.51082117,148.811005,98.38437241
badaling_aq#26,59.43050538,148.343673,87.976971
badaling_aq#27,59.43622053,147.7628627,77.01927286
badaling_aq#28,59.20262857,147.1886216,66.36447092
badaling_aq#29,59.13797948,146.6810928,56.82560373
badaling_aq#3,32.12965313,96.82064579,99.14794308
badaling_aq#30,59.0718681,146.2301516,49.11377572
badaling_aq#31,59.07221522,145.843016,43.7854518
badaling_aq#32,58.94604177,145.5205676,41.20270098
badaling_aq#33,58.88128855,145.2546229,41.50919082
badaling_aq#34,58.80232829,145.0381485,44.62346639
badaling_aq#35,58.74210461,144.864161,50.249687
badaling_aq#36,58.71496084,144.7254439,57.9046475
badaling_aq#37,58.6673106,144.6156923,66.9586806
badaling_aq#38,58.6061056,144.5294824,76.68701691
badaling_aq#39,58.60112083,144.4621608,86.32744231
badaling_aq#4,37.56823468,115.4962862,85.42737591
badaling_aq#40,58.58815553,144.4098695,95.13969087
badaling_aq#41,58.57335123,144.3694551,102.4619682
badaling_aq#42,58.9499123,144.3383588,107.7603131
badaling_aq#43,58.72209002,144.3145306,110.6671411
badaling_aq#44,58.65916522,144.2963424,111.006219
badaling_aq#45,58.89036242,144.2825093,108.8024198
badaling_aq#46,58.66021306,144.2720244,104.2758073
badaling_aq#47,58.60462021,144.2641031,97.82081956
badaling_aq#5,40.28249285,121.7269238,71.55671678
badaling_aq#6,42.79356529,127.246752,58.58789312
badaling_aq#7,44.138051,128.4894019,47.48484462
badaling_aq#8,47.15899559,136.8368051,39.05080403
badaling_aq#9,49.13351449,140.7915398,33.86942746
beibuxinqu_aq#0,7.239154179,49.04737926,132.3815917
beibuxinqu_aq#1,8.09380784,59.20656666,125.7176506
beibuxinqu_aq#10,7.436602915,116.3334809,24.06484419
beibuxinqu_aq#11,7.437418433,120.0021642,25.82174229
beibuxinqu_aq#12,7.53232874,123.3129327,31.59036077
beibuxinqu_aq#13,7.158133587,126.3007044,40.88458131
beibuxinqu_aq#14,3.329607344,128.9969905,52.93648085
beibuxinqu_aq#15,0,131.4302285,66.79925138
beibuxinqu_aq#16,0,133.6260809,81.39014029
