"","station1","station2","distance"
"1","dongsi_aq","beijing_grid_303",3539.56902591985
"2","tiantan_aq","beijing_grid_303",1669.21513519254
"3","guanyuan_aq","beijing_grid_282",4637.88850823111
"4","wanshouxigong_aq","beijing_grid_303",4775.6410129168
"5","aotizhongxin_aq","beijing_grid_304",2020.02032828456
"6","nongzhanguan_aq","beijing_grid_324",5296.38607793668
"7","wanliu_aq","beijing_grid_283",1823.03179136167
"8","beibuxinqu_aq","beijing_grid_263",2478.17523030918
"9","zhiwuyuan_aq","beijing_grid_262",637.089314837402
"10","fengtaihuayuan_aq","beijing_grid_282",4492.52047096141
"11","yungang_aq","beijing_grid_239",4754.98864227907
"12","gucheng_aq","beijing_grid_261",2072.56462755982
"13","fangshan_aq","beijing_grid_238",5600.08232663899
"14","daxing_aq","beijing_grid_301",2032.82051961207
"15","yizhuang_aq","beijing_grid_323",757.061665852223
"16","tongzhou_aq","beijing_grid_366",3523.53725006724
"17","shunyi_aq","beijing_grid_368",4869.3426045782
"18","pingchang_aq","beijing_grid_264",3175.85409515688
"19","mentougou_aq","beijing_grid_240",4150.55446512215
"20","pinggu_aq","beijing_grid_452",4786.73810411103
"21","huairou_aq","beijing_grid_349",3919.70255466412
"22","miyun_aq","beijing_grid_392",4302.93211406343
"23","yanqin_aq","beijing_grid_225",5744.17180849372
"24","dingling_aq","beijing_grid_265",1917.45275044415
"25","badaling_aq","beijing_grid_224",4026.86599081549
"26","miyunshuiku_aq","beijing_grid_414",937.765644632926
"27","donggaocun_aq","beijing_grid_452",1703.01321335717
"28","yongledian_aq","beijing_grid_385",1975.88558858902
"29","yufa_aq","beijing_grid_278",2226.38981586604
"30","liulihe_aq","beijing_grid_216",2226.38981586604
"31","qianmen_aq","beijing_grid_303",441.277172735063
"32","yongdingmennei_aq","beijing_grid_303",2720.37811564039
"33","xizhimenbei_aq","beijing_grid_283",6610.08488587437
"34","nansanhuan_aq","beijing_grid_303",5609.28104128114
"35","dongsihuan_aq","beijing_grid_324",4577.6435965104
