"","station1","station2","distance"
"1","BX9","london_grid_472",3929.17026159292
"2","BX1","london_grid_472",3929.17026159292
"3","BL0","london_grid_409",3059.7600218276
"4","CD9","london_grid_409",3682.91402776679
"5","CD1","london_grid_388",5211.63264013464
"6","CT2","london_grid_409",1646.94524121238
"7","CT3","london_grid_409",2179.31801384185
"8","CR8","london_grid_408",2214.00265241135
"9","GN0","london_grid_451",2087.36222292521
"10","GR4","london_grid_451",5654.53673134588
"11","GN3","london_grid_451",1490.95507244122
"12","GR9","london_grid_430",5619.20462358431
"13","GB0","london_grid_451",4965.96871688576
"14","HR1","london_grid_368",1930.69107061159
"15","HV1","london_grid_472",2344.77255082928
"16","LH0","london_grid_346",3143.7831550076
"17","KC1","london_grid_388",2522.50364878107
"18","KF1","london_grid_388",2522.50364878107
"19","LW2","london_grid_430",3914.57979579852
"20","RB7","london_grid_452",3596.84661105365
"21","TD5","london_grid_366",4234.61333763067
"22","ST5","london_grid_408",3129.84228160341
"23","TH4","london_grid_430",1773.59032524924
"24","MY7","london_grid_388",4024.10055245722
