id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
3018239,dongsi_aq,2018-05-29 01:00:00,9.0,23.0,24.0,0.2,60.0,2.0
3018240,tiantan_aq,2018-05-29 01:00:00,17.0,,42.0,0.4,51.0,3.0
3018241,guanyuan_aq,2018-05-29 01:00:00,8.0,37.0,32.0,0.3,56.0,2.0
3018242,wanshouxigong_aq,2018-05-29 01:00:00,21.0,25.0,30.0,0.4,56.0,2.0
3018243,aotizhongxin_aq,2018-05-29 01:00:00,11.0,34.0,36.0,0.4,48.0,4.0
3018244,nongzhanguan_aq,2018-05-29 01:00:00,3.0,20.0,30.0,0.2,52.0,4.0
3018245,wanliu_aq,2018-05-29 01:00:00,15.0,43.0,49.0,0.7,52.0,3.0
3018246,beibuxinqu_aq,2018-05-29 01:00:00,12.0,,21.0,0.3,56.0,2.0
3018247,zhiwuyuan_aq,2018-05-29 01:00:00,,,,,,
3018248,fengtaihuayuan_aq,2018-05-29 01:00:00,,,25.0,0.2,67.0,2.0
3018249,yungang_aq,2018-05-29 01:00:00,10.0,28.0,2.0,0.2,63.0,2.0
3018250,gucheng_aq,2018-05-29 01:00:00,12.0,19.0,16.0,0.3,77.0,2.0
3018251,fangshan_aq,2018-05-29 01:00:00,16.0,31.0,34.0,0.3,75.0,2.0
3018252,daxing_aq,2018-05-29 01:00:00,49.0,,22.0,0.2,69.0,2.0
3018253,yizhuang_aq,2018-05-29 01:00:00,7.0,46.0,35.0,0.4,57.0,2.0
3018254,tongzhou_aq,2018-05-29 01:00:00,19.0,82.0,50.0,0.4,27.0,5.0
3018255,shunyi_aq,2018-05-29 01:00:00,18.0,29.0,24.0,0.3,56.0,3.0
3018256,pingchang_aq,2018-05-29 01:00:00,29.0,,14.0,0.2,69.0,3.0
3018257,mentougou_aq,2018-05-29 01:00:00,7.0,23.0,14.0,0.2,83.0,2.0
3018258,pinggu_aq,2018-05-29 01:00:00,13.0,29.0,28.0,0.3,60.0,2.0
3018259,huairou_aq,2018-05-29 01:00:00,24.0,27.0,16.0,0.3,53.0,2.0
3018260,miyun_aq,2018-05-29 01:00:00,7.0,15.0,28.0,0.3,48.0,2.0
3018261,yanqin_aq,2018-05-29 01:00:00,15.0,45.0,27.0,0.3,41.0,5.0
3018262,dingling_aq,2018-05-29 01:00:00,3.0,,8.0,0.2,62.0,7.0
3018263,badaling_aq,2018-05-29 01:00:00,93.0,,22.0,0.2,56.0,2.0
3018264,miyunshuiku_aq,2018-05-29 01:00:00,8.0,27.0,13.0,0.3,56.0,2.0
3018265,donggaocun_aq,2018-05-29 01:00:00,3.0,,9.0,0.1,66.0,2.0
3018266,yongledian_aq,2018-05-29 01:00:00,23.0,54.0,78.0,0.5,20.0,4.0
3018267,yufa_aq,2018-05-29 01:00:00,,72.0,29.0,0.5,66.0,2.0
3018268,liulihe_aq,2018-05-29 01:00:00,13.0,18.0,2.0,0.2,78.0,2.0
3018269,qianmen_aq,2018-05-29 01:00:00,6.0,,41.0,0.3,,2.0
3018270,yongdingmennei_aq,2018-05-29 01:00:00,13.0,,33.0,0.3,57.0,4.0
3018271,xizhimenbei_aq,2018-05-29 01:00:00,11.0,29.0,50.0,0.3,45.0,2.0
3018272,nansanhuan_aq,2018-05-29 01:00:00,,80.0,71.0,0.6,28.0,4.0
3018273,dongsihuan_aq,2018-05-29 01:00:00,29.0,33.0,53.0,0.5,36.0,4.0
3018295,dongsi_aq,2018-05-29 02:00:00,10.0,31.0,17.0,0.1,74.0,2.0
3018296,tiantan_aq,2018-05-29 02:00:00,10.0,27.0,29.0,0.3,72.0,3.0
3018297,guanyuan_aq,2018-05-29 02:00:00,6.0,38.0,20.0,0.2,75.0,2.0
3018298,wanshouxigong_aq,2018-05-29 02:00:00,10.0,60.0,21.0,0.4,72.0,2.0
3018299,aotizhongxin_aq,2018-05-29 02:00:00,8.0,35.0,23.0,0.3,68.0,3.0
3018300,nongzhanguan_aq,2018-05-29 02:00:00,7.0,16.0,19.0,0.2,68.0,3.0
3018301,wanliu_aq,2018-05-29 02:00:00,3.0,15.0,28.0,0.4,82.0,2.0
3018302,beibuxinqu_aq,2018-05-29 02:00:00,3.0,11.0,8.0,0.3,80.0,2.0
3018303,zhiwuyuan_aq,2018-05-29 02:00:00,,,,,,
3018304,fengtaihuayuan_aq,2018-05-29 02:00:00,,31.0,17.0,0.2,83.0,2.0
3018305,yungang_aq,2018-05-29 02:00:00,3.0,8.0,,0.2,78.0,2.0
3018306,gucheng_aq,2018-05-29 02:00:00,11.0,23.0,13.0,0.3,84.0,2.0
3018307,fangshan_aq,2018-05-29 02:00:00,10.0,29.0,21.0,0.2,95.0,2.0
3018308,daxing_aq,2018-05-29 02:00:00,7.0,,12.0,0.2,89.0,2.0
3018309,yizhuang_aq,2018-05-29 02:00:00,4.0,20.0,19.0,0.3,80.0,2.0
3018310,tongzhou_aq,2018-05-29 02:00:00,16.0,64.0,33.0,0.3,52.0,3.0
3018311,shunyi_aq,2018-05-29 02:00:00,17.0,34.0,18.0,0.3,75.0,3.0
3018312,pingchang_aq,2018-05-29 02:00:00,51.0,,10.0,0.2,80.0,2.0
3018313,mentougou_aq,2018-05-29 02:00:00,4.0,19.0,13.0,0.2,87.0,2.0
3018314,pinggu_aq,2018-05-29 02:00:00,8.0,,17.0,0.2,84.0,2.0
3018315,huairou_aq,2018-05-29 02:00:00,,,13.0,0.3,64.0,2.0
3018316,miyun_aq,2018-05-29 02:00:00,6.0,,14.0,0.2,81.0,2.0
3018317,yanqin_aq,2018-05-29 02:00:00,7.0,56.0,24.0,,48.0,70.0
3018318,dingling_aq,2018-05-29 02:00:00,3.0,22.0,6.0,0.2,70.0,7.0
3018319,badaling_aq,2018-05-29 02:00:00,43.0,70.0,18.0,0.2,65.0,2.0
3018320,miyunshuiku_aq,2018-05-29 02:00:00,8.0,22.0,7.0,0.2,80.0,2.0
3018321,donggaocun_aq,2018-05-29 02:00:00,4.0,46.0,12.0,0.1,72.0,2.0
