id,station_id,time,weather,temperature,pressure,humidity,wind_direction,wind_speed
4115857,beijing_grid_000,2018-05-29 00:00:00,CLEAR_DAY,25.0,974.0063,20.0,336.56,3.14
4115858,beijing_grid_001,2018-05-29 00:00:00,CLEAR_DAY,25.0,960.6943,21.0,323.02,3.51
4115859,beijing_grid_002,2018-05-29 00:00:00,CLEAR_DAY,15.0,947.3823,22.0,312.56,4.04
4115860,beijing_grid_003,2018-05-29 00:00:00,CLEAR_DAY,15.0,932.1887,24.0,313.46,5.06
4115861,beijing_grid_004,2018-05-29 00:00:00,CLEAR_DAY,15.0,915.1135,26.0,320.21,6.57
4115862,beijing_grid_005,2018-05-29 00:00:00,CLEAR_DAY,15.0,898.0384,28.0,324.4,8.14
4115863,beijing_grid_006,2018-05-29 00:00:00,CLEAR_DAY,15.0,879.92,30.0,323.85,9.38
4115864,beijing_grid_007,2018-05-29 00:00:00,CLEAR_DAY,15.0,861.8015,33.0,323.42,10.61
4115865,beijing_grid_008,2018-05-29 00:00:00,CLEAR_DAY,14.5,854.6719,34.0,320.44,11.5
4115866,beijing_grid_009,2018-05-29 00:00:00,CLEAR_DAY,14.5,858.5311,35.0,315.25,12.12
4115867,beijing_grid_010,2018-05-29 00:00:00,CLEAR_DAY,18.0,862.3903,36.0,310.59,12.83
4115868,beijing_grid_011,2018-05-29 00:00:00,CLEAR_DAY,18.0,873.2191,35.0,312.53,13.89
4115869,beijing_grid_012,2018-05-29 00:00:00,CLEAR_DAY,18.0,884.0479,34.0,314.19,14.95
4115870,beijing_grid_013,2018-05-29 00:00:00,CLEAR_DAY,18.0,894.7519,34.0,315.8,16.12
4115871,beijing_grid_014,2018-05-29 00:00:00,CLEAR_DAY,15.0,905.3311,34.0,317.35,17.4
4115872,beijing_grid_015,2018-05-29 00:00:00,CLEAR_DAY,15.0,915.9103,35.0,318.69,18.69
4115873,beijing_grid_016,2018-05-29 00:00:00,CLEAR_DAY,15.0,915.6159,36.0,317.99,18.93
4115874,beijing_grid_017,2018-05-29 00:00:00,CLEAR_DAY,15.0,915.3216,37.0,317.32,19.17
4115875,beijing_grid_018,2018-05-29 00:00:00,CLEAR_DAY,14.0,906.6016,39.0,319.96,19.91
