id,station_id,time,weather,temperature,pressure,humidity,wind_speed,wind_direction
4117371,shunyi_meo,2018-05-29 00:00:00,Sunny/clear,21.5,1007.8,37.0,1.7,40.0
4117372,hadian_meo,2018-05-29 00:00:00,Sunny/clear,20.6,1005.7,31.0,0.1,999017.0
4117373,yanqing_meo,2018-05-29 00:00:00,Sunny/clear,17.0,956.3,39.0,0.7,201.0
4117374,miyun_meo,2018-05-29 00:00:00,Sunny/clear,18.9,1003.1,45.0,1.3,57.0
4117375,huairou_meo,2018-05-29 00:00:00,Sunny/clear,20.2,1002.5,40.0,2.1,116.0
4117376,shangdianzi_meo,2018-05-29 00:00:00,Sunny/clear,17.4,977.8,37.0,3.3,60.0
4117377,pinggu_meo,2018-05-29 00:00:00,Sunny/clear,19.9,1007.3,39.0,0.4,193.0
4117378,tongzhou_meo,2018-05-29 00:00:00,Sunny/clear,22.2,1008.8,29.0,2.6,334.0
4117379,chaoyang_meo,2018-05-29 00:00:00,Sunny/clear,23.4,1007.2,21.0,1.6,294.0
4117380,pingchang_meo,2018-05-29 00:00:00,Sunny/clear,24.2,1002.2,18.0,3.0,278.0
4117381,zhaitang_meo,2018-05-29 00:00:00,Sunny/clear,18.3,961.6,34.0,1.4,17.0
4117382,mentougou_meo,2018-05-29 00:00:00,Sunny/clear,23.3,1001.3,23.0,1.3,326.0
4117383,beijing_meo,2018-05-29 00:00:00,Sunny/clear,24.7,1007.4,18.0,3.2,307.0
4117384,shijingshan_meo,2018-05-29 00:00:00,Sunny/clear,23.6,1003.7,23.0,1.1,314.0
4117385,fengtai_meo,2018-05-29 00:00:00,Sunny/clear,24.7,1004.8,22.0,2.7,253.0
4117386,daxing_meo,2018-05-29 00:00:00,Sunny/clear,23.9,1006.8,25.0,0.6,311.0
4117387,fangshan_meo,2018-05-29 00:00:00,Sunny/clear,23.1,1005.7,26.0,1.5,330.0
4117388,xiayunling_meo,2018-05-29 00:00:00,Sunny/clear,19.5,965.0,36.0,1.6,61.0
4118904,shunyi_meo,2018-05-29 01:00:00,Sunny/clear,24.0,1007.7,22.0,1.7,263.0
4118905,hadian_meo,2018-05-29 01:00:00,Sunny/clear,25.3,1005.5,21.0,1.7,26.0
4118906,yanqing_meo,2018-05-29 01:00:00,Sunny/clear,18.6,956.1,33.0,2.2,279.0
4118907,miyun_meo,2018-05-29 01:00:00,Sunny/clear,21.5,1003.1,35.0,1.5,56.0
4118908,huairou_meo,2018-05-29 01:00:00,Sunny/clear,22.6,1002.3,30.0,3.1,104.0
4118909,shangdianzi_meo,2018-05-29 01:00:00,Sunny/clear,19.3,977.6,29.0,3.2,74.0
4118910,pinggu_meo,2018-05-29 01:00:00,Sunny/clear,22.8,1007.1,36.0,1.6,232.0
4118911,tongzhou_meo,2018-05-29 01:00:00,Sunny/clear,24.7,1008.7,24.0,1.5,332.0
4118912,chaoyang_meo,2018-05-29 01:00:00,Sunny/clear,25.7,1007.0,19.0,2.4,296.0
4118913,pingchang_meo,2018-05-29 01:00:00,Sunny/clear,26.0,1002.1,17.0,5.2,292.0
4118914,zhaitang_meo,2018-05-29 01:00:00,Sunny/clear,23.2,960.9,23.0,1.8,73.0
4118915,mentougou_meo,2018-05-29 01:00:00,Sunny/clear,26.2,1001.1,18.0,5.4,313.0
4118916,beijing_meo,2018-05-29 01:00:00,Sunny/clear,26.3,1007.3,17.0,3.2,278.0
4118917,shijingshan_meo,2018-05-29 01:00:00,Sunny/clear,26.5,1003.4,22.0,1.4,241.0
4118918,fengtai_meo,2018-05-29 01:00:00,Sunny/clear,27.2,1004.6,19.0,2.3,290.0
4118919,daxing_meo,2018-05-29 01:00:00,Sunny/clear,26.5,1006.6,19.0,2.0,212.0
4118920,fangshan_meo,2018-05-29 01:00:00,Sunny/clear,26.3,1005.5,22.0,1.7,171.0
4118921,xiayunling_meo,2018-05-29 01:00:00,Sunny/clear,24.9,964.5,19.0,2.7,304.0
