id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
3018219,CD1,2018-05-29 00:00:00,28.2,28.6,11.9,,,
3018220,BL0,2018-05-29 00:00:00,,,,,,
3018221,GR4,2018-05-29 00:00:00,24.8,25.0,6.3,,,
3018222,MY7,2018-05-29 00:00:00,31.4,32.4,,,,
3018223,HV1,2018-05-29 00:00:00,22.6,23.4,5.3,,,
3018224,GN3,2018-05-29 00:00:00,33.0,37.9,5.2,,,
3018225,GR9,2018-05-29 00:00:00,31.2,35.3,17.5,,,
3018226,LW2,2018-05-29 00:00:00,,,,,,
3018227,GN0,2018-05-29 00:00:00,,29.2,13.1,,,
3018228,KF1,2018-05-29 00:00:00,,,,,,
3018229,CD9,2018-05-29 00:00:00,,,31.3,,,
3018230,CT3,2018-05-29 00:00:00,,31.2,11.3,,,
3018231,CT2,2018-05-29 00:00:00,,,,,,
3018232,BX9,2018-05-29 00:00:00,26.3,,,,,
3018233,BX1,2018-05-29 00:00:00,,24.9,-0.6,,,
3018234,TH4,2018-05-29 00:00:00,,44.9,22.5,,,
3018235,ST5,2018-05-29 00:00:00,,,,,,
3018236,RB7,2018-05-29 00:00:00,,38.2,5.8,,,
3018237,TD5,2018-05-29 00:00:00,30.4,,,,,
3018275,CD1,2018-05-29 01:00:00,28.1,29.7,13.2,,,
3018276,BL0,2018-05-29 01:00:00,25.6,30.2,10.7,,,
3018277,GR4,2018-05-29 01:00:00,32.3,31.7,8.8,,,
3018278,MY7,2018-05-29 01:00:00,29.9,32.9,,,,
3018279,HV1,2018-05-29 01:00:00,26.0,27.3,5.5,,,
3018280,GN3,2018-05-29 01:00:00,34.6,37.4,5.2,,,
3018281,GR9,2018-05-29 01:00:00,,,,,,
3018282,LW2,2018-05-29 01:00:00,,,,,,
3018283,GN0,2018-05-29 01:00:00,,31.2,11.0,,,
3018284,KF1,2018-05-29 01:00:00,,,,,,
3018285,CD9,2018-05-29 01:00:00,,,,,,
3018286,CT3,2018-05-29 01:00:00,,34.8,14.7,,,
3018287,CT2,2018-05-29 01:00:00,34.0,,,,,
3018288,BX9,2018-05-29 01:00:00,32.5,,,,,
3018289,BX1,2018-05-29 01:00:00,,26.7,0.4,,,
3018290,TH4,2018-05-29 01:00:00,,41.4,18.5,,,
3018291,ST5,2018-05-29 01:00:00,,,,,,
3018292,RB7,2018-05-29 01:00:00,,39.4,4.9,,,
3018293,TD5,2018-05-29 01:00:00,29.7,,,,,
3018331,CD1,2018-05-29 02:00:00,25.1,25.1,11.2,,,
3018332,BL0,2018-05-29 02:00:00,,,,,,
3018333,GR4,2018-05-29 02:00:00,32.2,33.5,7.1,,,
3018334,MY7,2018-05-29 02:00:00,25.0,27.7,,,,
3018335,HV1,2018-05-29 02:00:00,33.5,33.8,4.7,,,
3018336,GN3,2018-05-29 02:00:00,31.0,33.9,5.6,,,
3018337,GR9,2018-05-29 02:00:00,32.3,38.9,17.1,,,
3018338,LW2,2018-05-29 02:00:00,,,,,,
3018339,GN0,2018-05-29 02:00:00,,28.8,16.4,,,
3018340,KF1,2018-05-29 02:00:00,,,,,,
3018341,CD9,2018-05-29 02:00:00,,,27.6,,,
3018342,CT3,2018-05-29 02:00:00,,29.0,12.4,,,
3018343,CT2,2018-05-29 02:00:00,34.0,,,,,
3018344,BX9,2018-05-29 02:00:00,32.0,,,,,
3018345,BX1,2018-05-29 02:00:00,,24.9,-1.7,,,
3018346,TH4,2018-05-29 02:00:00,,35.4,18.0,,,
3018347,ST5,2018-05-29 02:00:00,,,,,,
3018348,RB7,2018-05-29 02:00:00,,26.8,4.0,,,
3018349,TD5,2018-05-29 02:00:00,23.1,,,,,
3018387,CD1,2018-05-29 03:00:00,26.2,26.7,12.0,,,
3018388,BL0,2018-05-29 03:00:00,20.6,22.5,14.0,,,
3018389,GR4,2018-05-29 03:00:00,28.9,27.5,7.4,,,
3018390,MY7,2018-05-29 03:00:00,22.0,21.9,,,,
3018391,HV1,2018-05-29 03:00:00,25.1,24.8,4.2,,,
3018392,GN3,2018-05-29 03:00:00,27.4,28.9,5.6,,,
3018393,GR9,2018-05-29 03:00:00,,,,,,
3018394,LW2,2018-05-29 03:00:00,,,,,,
3018395,GN0,2018-05-29 03:00:00,,,,,,
3018396,KF1,2018-05-29 03:00:00,,,,,,
3018397,CD9,2018-05-29 03:00:00,,,,,,
3018398,CT3,2018-05-29 03:00:00,,,16.2,,,
3018399,CT2,2018-05-29 03:00:00,,,,,,
3018400,BX9,2018-05-29 03:00:00,27.6,,,,,
3018401,BX1,2018-05-29 03:00:00,,,-1.9,,,
3018402,TH4,2018-05-29 03:00:00,,,,,,
3018403,ST5,2018-05-29 03:00:00,,,,,,
3018404,RB7,2018-05-29 03:00:00,,,4.7,,,
3018405,TD5,2018-05-29 03:00:00,26.8,,,,,
3018443,CD1,2018-05-29 04:00:00,21.6,22.5,15.6,,,
3018444,BL0,2018-05-29 04:00:00,,,,,,
3018445,GR4,2018-05-29 04:00:00,21.6,16.3,8.3,,,
