id,station_id,time,weather,temperature,pressure,humidity,wind_direction,wind_speed
4116509,london_grid_000,2018-05-29 00:00:00,RAIN,16.41,1017.5903,93.0,53.45,23.63
4116510,london_grid_001,2018-05-29 00:00:00,RAIN,16.4,1016.7071,94.0,50.96,21.68
4116511,london_grid_002,2018-05-29 00:00:00,RAIN,16.38,1015.8239,95.0,47.98,19.78
4116512,london_grid_003,2018-05-29 00:00:00,RAIN,16.19,1013.3215,96.0,46.16,18.66
4116513,london_grid_004,2018-05-29 00:00:00,RAIN,15.81,1009.2,96.0,45.93,18.3
4116514,london_grid_005,2018-05-29 00:00:00,RAIN,15.44,1005.0784,97.0,45.69,17.93
4116515,london_grid_006,2018-05-29 00:00:00,RAIN,15.13,1004.6048,97.0,47.28,18.19
4116516,london_grid_007,2018-05-29 00:00:00,RAIN,14.83,1004.1312,97.0,48.83,18.46
4116517,london_grid_008,2018-05-29 00:00:00,RAIN,14.6,1004.6528,97.0,50.06,18.48
4116518,london_grid_009,2018-05-29 00:00:00,RAIN,14.46,1006.1695,97.0,51.03,18.24
4116519,london_grid_010,2018-05-29 00:00:00,RAIN,14.31,1007.6863,97.0,52.02,18.01
4116520,london_grid_011,2018-05-29 00:00:00,RAIN,14.09,1005.8879,97.0,52.17,17.63
4116521,london_grid_012,2018-05-29 00:00:00,RAIN,13.87,1004.0895,98.0,52.33,17.24
4116522,london_grid_013,2018-05-29 00:00:00,PARTLY_CLOUDY_DAY,13.72,1003.9007,98.0,52.48,16.55
4116523,london_grid_014,2018-05-29 00:00:00,PARTLY_CLOUDY_DAY,13.65,1005.3215,98.0,52.63,15.53
4116524,london_grid_015,2018-05-29 00:00:00,PARTLY_CLOUDY_DAY,13.57,1006.7423,98.0,52.8,14.52
4116525,london_grid_016,2018-05-29 00:00:00,PARTLY_CLOUDY_DAY,13.54,1007.9455,97.0,51.75,14.53
4116526,london_grid_017,2018-05-29 00:00:00,PARTLY_CLOUDY_DAY,13.52,1009.1487,96.0,50.69,14.54
4116527,london_grid_018,2018-05-29 00:00:00,CLEAR_DAY,13.67,1008.5151,94.0,50.86,14.56
4116528,london_grid_019,2018-05-29 00:00:00,CLEAR_DAY,14.01,1006.0448,91.0,52.26,14.59
4116529,london_grid_020,2018-05-29 00:00:00,CLEAR_DAY,14.35,1003.5744,87.0,53.65,14.63
4116530,london_grid_021,2018-05-29 00:00:00,RAIN,16.44,1017.7119,93.0,55.83,22.67
4116531,london_grid_022,2018-05-29 00:00:00,RAIN,16.44,1016.9465,94.0,52.76,20.83
4116532,london_grid_023,2018-05-29 00:00:00,RAIN,16.44,1016.1811,95.0,49.11,19.06
4116533,london_grid_024,2018-05-29 00:00:00,RAIN,16.26,1014.0575,96.0,46.53,18.12
4116534,london_grid_025,2018-05-29 00:00:00,RAIN,15.9,1010.576,96.0,45.53,17.96
4116535,london_grid_026,2018-05-29 00:00:00,RAIN,15.54,1007.0944,97.0,44.51,17.81
4116536,london_grid_027,2018-05-29 00:00:00,RAIN,15.14,1005.694,97.0,45.83,18.17
